V4_ID,v3_ID,Gene_symbol,full_name,v4_source,v3_source,Chromosome,Start,End,
Zm00001d026277,GRMZM2G032282,cpx2,coproporphyrinogen III oxidase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from alignment of cDNA DQ250641 to B73 AGP_v2 (MLS),Chr10,"142,707,254","142,721,455",
Zm00001d023425,GRMZM2G051637,cr4,crinkly4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr10,"5,235,583","5,238,288",
Zm00001d042268,GRMZM2G032132,crn1,coryne1,,,Chr3,"158,268,237","158,272,672",
Zm00001d021716,GRMZM2G083950,crp1,chloroplast RNA processing1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr7,"161,220,659","161,224,485",
Zm00001d020900,GRMZM5G802566,crp11,cp 3'-tRNA processing endoribonuclease11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr7,"135,891,863","135,894,153",
Zm00001d018891,GRMZM2G377761,crp4,chloroplast RNA processing4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,provided by Barkan (2010),Chr7,"8,478,320","8,494,304",
Zm00001d001865,GRMZM2G040736,crr1,cytokinin response regulator1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Cell Genomics project (Oct 2013),Chr2,"2,078,887","2,079,669",
Zm00001d026594,GRMZM2G392101,crr2,cytokinin response regulator2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr10,"148,669,998","148,671,302",
Zm00001d011849,GRMZM2G319187,crr4,cytokinin response regulator4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr8,"162,775,996","162,782,061",
Zm00001d042066,GRMZM6G980248,crr5,cytokinin response regulator5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: AY104728,Chr3,"149,521,452","149,548,954",
Zm00001d050768,GRMZM2G096171,crr7,cytokinin response regulator7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"121,766,673","121,769,040",
Zm00001d028265,GRMZM2G099797,crr8,cytokinin response regulator8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"28,609,279","28,614,414",
Zm00001d032373,GRMZM2G078412,crs1,chloroplast RNA splicing1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from alignment of cDNA AF290414 |gi|9837549 to B73_V2 (Jul 2011),Chr1,"224,244,775","224,257,054",
Zm00001d008559,GRMZM2G132021,crs2,chloroplast RNA splicing2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from alignment of B73_v2 to cDNA AF225708 |gi| 6752918.,Chr8,"12,962,024","12,970,253",
,GRMZM2G481231,crs4,chloroplast RNA splicing4,,"Wei et al., 2016",Chr2,"160,534,929","160,541,718",
Zm00001d045014,GRMZM2G053196,crs4a,chloroplast RNA splicing4a,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr9,"10,221,137","10,230,897",
Zm00001d019283,GRMZM2G358059,crt2,calreticulin2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr7,"25,499,872","25,503,849",
Zm00001d038648,GRMZM2G305115,crt3,Calreticulin3,,,Chr6,"161,702,211","161,706,863",
Zm00001d052932,GRMZM2G108457,crti1,carotene isomerase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"From homology to sequence published by Vallabhaneni and Wurtzel, 2009.",Chr4,"205,269,595","205,274,287",
Zm00001d007502,GRMZM2G106531,crti2,carotene isomerase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"From homology to sequence published by Vallabhaneni and Wurtzel, 2009.",Chr2,"233,393,208","233,398,004",
Zm00001d012868,GRMZM2G144273,crti3,carotene isomerase3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Owens et al., 2014",Chr5,"1,369,611","1,375,366",
Zm00001d014203,GRMZM2G017805,crup1,CruP paralog1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,aligns to sequence for fl cDNA ZMBFC0139E12 described in suppl data of Bradbury et al 2012,Chr5,"36,522,150","36,523,481",
Zm00001d016915,GRMZM2G024739,cry1,cryptochrome1,,,Chr5,"179,755,601","179,759,432",
Zm00001d003477,GRMZM2G049549,cry2,cryptochrome2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: BT036578,Chr2,"45,426,581","45,430,349",
Zm00001d045944,GRMZM2G172152,cry3,cryptochrome3,,,Chr9,"48,378,179","48,386,336",
Zm00001d050850,GRMZM2G104262,cry4,cryptochrome4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"126,958,963","126,962,865",
Zm00001d028578,GRMZM2G356459,csd1,CSD-transcription factor 1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"39,740,669","39,744,045",
Zm00001d053908,GRMZM2G389768,csd2,CSD-transcription factor 2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"243,422,436","243,423,185",
,GRMZM2G141150,csd3,CSD-transcription factor 3,,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"72,594,595","72,596,618",
,GRMZM5G895313,csd4,,,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"143,487,131","143,488,239",
Zm00001d023810,GRMZM2G015886,csld1,cellulose synthase-like D1,,,Chr10,"22,804,035","22,808,448",
Zm00001d042044,,csr1,chloroplast srp54 receptor1,v4,,Chr3,"148,445,216","148,448,764",
Zm00001d032775,GRMZM2G445905,csu1007(eif4F),,,,Chr1,"237,880,513","237,886,237",
Zm00001d048258,GRMZM5G860976,csu1118,,,,Chr9,"153,366,311","153,376,606",
Zm00001d031747,GRMZM2G318475,csu1132,,,,Chr1,"200,675,571","200,679,396",
Zm00001d030316,GRMZM2G009465,csu1138,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"122,018,879","122,020,803",
Zm00001d013002,GRMZM2G034278,csu134b(thf),,,homology to AF174486,Chr5,"2,973,947","2,975,342",
Zm00001d046746,GRMZM2G037485,csu147,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr9,"104,198,101","104,199,039",
Zm00001d017118,GRMZM2G030606,csu173,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr5,"185,974,546","185,976,455",
Zm00001d043109,GRMZM2G054821,csu191,,,,Chr3,"189,363,211","189,370,191",
Zm00001d046489,GRMZM2G019586,csu193,,,,Chr9,"92,154,833","92,157,937",
Zm00001d010534,GRMZM2G007276,csu204(uce),,,,Chr8,"119,590,651","119,595,708",
Zm00001d048649,GRMZM2G131409,csu221,,,,Chr4,"2,612,412","2,612,975",
Zm00001d039456,GRMZM2G050845,csu230,,,,Chr3,"4,838,566","4,841,548",
Zm00001d049048,GRMZM2G124644,csu235,,,,Chr4,"13,883,904","13,884,785",
Zm00001d023309,GRMZM2G068465,csu25b(P450),,,,Chr10,"2,640,438","2,644,386",
Zm00001d005699,GRMZM2G425965,csu270,,,,Chr2,"183,810,719","183,812,320",
,GRMZM2G067303,csu28a(rpS22),,,not in B73 v4,Chr9,"142,752,102","142,755,422",
Zm00001d029725,GRMZM2G162292,csu3,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"84,224,821","84,227,369",
Zm00001d016691,GRMZM2G113332,csu308,,,,Chr5,"172,643,939","172,645,561",
Zm00001d037811,GRMZM2G055678,csu310(ptk),,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr6,"138,545,312","138,550,589",
Zm00001d008230,GRMZM2G081462,csu319,,,,Chr8,"2,034,108","2,036,318",
Zm00001d011467,GRMZM2G154508,csu31a,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr8,"151,280,912","151,281,930",
Zm00001d029548,GRMZM2G036543,csu323,,,,Chr1,"75,699,185","75,711,640",
Zm00001d008820,GRMZM2G147882,csu329,,,,Chr8,"21,650,403","21,654,524",
Zm00001d039387,GRMZM2G093405,csu32a,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr3,"3,142,741","3,145,531",
Zm00001d003464,GRMZM2G092107,csu334,,,,Chr2,"45,202,980","45,209,348",
Zm00001d025571,GRMZM2G381267,csu334b,,,,Chr10,"122,637,949","122,641,587",
Zm00001d005146,GRMZM2G164440,csu337,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"161,023,220","161,023,567",
Zm00001d013819,GRMZM2G132036,csu340,,,,Chr5,"21,424,283","21,431,659",
Zm00001d044287,GRMZM2G116135,csu36c(rpL19),,,,Chr3,"224,227,926","224,230,670",
Zm00001d002499,GRMZM2G092190,csu425(gct),,,,Chr2,"14,086,379","14,100,162",
Zm00001d047255,GRMZM2G152105,csu43,,,,Chr9,"124,477,957","124,483,883",
Zm00001d029420,GRMZM2G077897,csu452,,,,Chr1,"69,749,777","69,753,725",
Zm00001d027541,GRMZM2G096247,csu454(gst),,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"7,882,159","7,883,359",
Zm00001d043998,GRMZM5G814314,csu456(uce),,,,Chr3,"216,138,268","216,142,177",
Zm00001d045113,GRMZM2G109720,csu471,,,,Chr9,"13,149,723","13,154,901",
Zm00001d031128,GRMZM2G149751,csu503(met),,,,Chr1,"178,799,384","178,803,593",
Zm00001d031640,GRMZM2G135654,csu505(rpL7),,,,Chr1,"197,108,702","197,111,394",
Zm00001d033704,GRMZM2G057394,csu554a(rnh),,,,Chr1,"271,704,791","271,710,881",
Zm00001d013453,GRMZM2G123459,csu554b(rnh),,,,Chr5,"11,966,175","11,968,379",
Zm00001d018633,GRMZM2G120652,csu582,,,,Chr7,"1,389,242","1,390,195",
Zm00001d027392,GRMZM2G453794,csu589,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"4,220,852","4,296,236",
Zm00001d012513,GRMZM5G866947,csu591(uce),,,,Chr8,"175,871,642","175,876,540",
Zm00001d022035,GRMZM2G036203,csu5a,,,,Chr7,"168,350,846","168,352,356",
Zm00001d016704,GRMZM2G073950,csu600,,,,Chr5,"173,174,126","173,178,848",
Zm00001d010259,GRMZM6G785877,csu620,,,,Chr8,"106,433,937","106,440,262",
Zm00001d007645,GRMZM2G001444,csu622,,,,Chr2,"236,824,058","236,833,355",
Zm00001d046404,GRMZM2G463953,csu623a,,,,Chr9,"87,563,336","87,563,743",
Zm00001d023658,GRMZM2G011136,csu625,,,,Chr10,"13,789,308","13,796,140",
Zm00001d047679,GRMZM2G006429,csu634,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr9,"139,129,905","139,133,566",
Zm00001d042350,GRMZM2G359505,csu636,,,,Chr3,"162,539,736","162,542,986",
Zm00001d029373,GRMZM6G706391,csu649(scp),,,on Unplaced Scaffold,Chr1,"67,969,019","67,973,213",
Zm00001d022965,,csu696,,,,Chr1,"257,829,203","257,830,028",
Zm00001d035212,GRMZM2G165655,csu70,,,,Chr6,"10,035,680","10,040,260",
Zm00001d027302,GRMZM2G109725,csu738,,,,Chr1,"2,284,852","2,289,401",
Zm00001d051561,GRMZM2G110287,csu816,,,,Chr4,"162,767,963","162,770,959",
Zm00001d011078,GRMZM2G042623,csu829,,,,Chr8,"138,325,200","138,331,960",
Zm00001d044142,GRMZM2G364528,csu845,,,,Chr3,"220,335,813","220,336,259",
Zm00001d009488,GRMZM2G021331,csu849(atpb),,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from p-csu849 (W21766),Chr8,"67,043,287","67,046,926",
Zm00001d028593,GRMZM2G337425,csu859(gol),,,,Chr1,"40,162,847","40,168,804",
Zm00001d003085,GRMZM2G001241,csu861,,,,Chr2,"31,707,031","31,709,757",
Zm00001d022188,GRMZM2G102786,csu904,,,,Chr7,"172,304,384","172,308,594",
Zm00001d036708,GRMZM2G089491,csu923(sec61),,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr6,"98,284,028","98,286,043",
Zm00001d039029,GRMZM2G154648,csu928,,,,Chr6,"168,918,320","168,921,679",
Zm00001d031275,GRMZM2G164062,csu92a,,,,Chr1,"184,817,129","184,819,486",
Zm00001d025338,GRMZM2G147390,csu948,,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: EU966448,Chr10,"114,698,888","114,700,369",
Zm00001d000350,GRMZM5G809546,csy1,chloroplast SecY-1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,B73V4_ctg35,"44,795","47,751",
Zm00001d027886,GRMZM2G064732,ct2,compact plant2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Bommert, et al. 2013",Chr1,"16,722,714","16,730,676",
Zm00001d003190,GRMZM2G051943,cta1,chitinase A1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr2,"35,066,062","35,067,313",
Zm00001d025753,GRMZM2G005633,ctb1,chitinase B1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: M84165,Chr10,"128,400,712","128,402,032",
Zm00001d022160,GRMZM2G048846,ctn1,caltractin1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr7,"171,442,295","171,444,896",
Zm00001d000406,GRMZM2G373106,ctn4,chitinase4,,"Noonan et al., 2017",B73V4_ctg46,"27,798","28,721",
Zm00001d015856,GRMZM2G063851,cts1,citrate synthase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: W49861,Chr5,"126,813,401","126,819,662",
Zm00001d053685,GRMZM2G064023,cts2,citrate synthase2,,,Chr4,"239,005,570","239,012,726",
Zm00001d053684,GRMZM2G063909,cts3,citrate synthase3,,,Chr4,"238,977,831","238,989,000",
Zm00001d016248,GRMZM2G135588,cts4,citrate synthase4,,,Chr5,"152,956,416","152,961,046",
Zm00001d041593,GRMZM2G034083,cts5,citrate synthase5,,,Chr3,"129,044,635","129,048,672",
Zm00001d010858,GRMZM2G166089,cul1,cullin1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr8,"130,735,309","130,743,521",
Zm00001d024855,GRMZM2G166694,cul2,cullin2,,,Chr10,"90,671,654","90,682,705",
Zm00001d022320,GRMZM2G104141,cxe18,carboxyesterase18,,"Lei et al., 2019",Chr7,"175,339,919","175,340,989",
,GRMZM2G463640,cyb6,cytochrome b6,,"Zaidi et al., 2015",Chr5,"21,522,922","21,524,744",
Zm00001d013041,GRMZM2G318346,cybc7,cytochrome b-c1 complex subunit 7,,,Chr5,"3,613,357","3,618,413",
Zm00001d010656,GRMZM2G034647,cyc1,cyclin1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr8,"123,103,586","123,106,431",
Zm00001d019696,GRMZM2G107377,cyc10,cyclin10,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Garza-Aguilar et al., 2016",Chr7,"51,335,278","51,337,377",
Zm00001d005293,GRMZM2G161382,cyc11,cyclin11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Garza-Aguilar et al., 2016",Chr2,"168,005,838","168,007,927",
Zm00001d021031,GRMZM2G408242,cyc12,cyclin12,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr7,"140,949,104","140,954,205",
Zm00001d052185,GRMZM2G075117,cyc13,cyclin13,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"182,579,495","182,583,632",
Zm00001d031837,GRMZM2G133413,cyc14,cyclin14,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"203,221,978","203,225,256",
Zm00001d048143,GRMZM2G006721,cyc15,cyclin15,,,Chr9,"150,812,399","150,814,561",
Zm00001d028092,GRMZM2G007130,cyc16,cyclin16,,,Chr1,"22,729,803","22,732,019",
Zm00001d036360,GRMZM2G073671,cyc3,cyclin3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr6,"85,712,835","85,716,668",
Zm00001d012560,GRMZM2G310115,cyc4,cyclin4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: Entrez Gene 100274285,Chr8,"176,648,813","176,651,657",
Zm00001d008221,GRMZM2G005619,cyc5,cyclin5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: BT055761,Chr8,"1,656,468","1,659,625",
Zm00001d009011,,cyc6,cyclin6,V4,,Chr8,"30,110,204","30,114,064",
Zm00001d043164,GRMZM2G073003,cyc7,cyclin7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr3,"190,397,962","190,400,788",
Zm00001d002662,GRMZM2G138886,cyc8,cyclin8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"from: Sabelli et al., 2014",Chr2,"18,693,524","18,697,258",
Zm00001d014756,GRMZM2G017081,cyc9,cyclin9,Gene model association inferred from similarity with B73 RefGen_v3 gene models," Jia et al., 2016",Chr5,"61,635,981","61,641,076",
Zm00001d044673,GRMZM5G899349,cyp1,cytochrome P450 homolog1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr3,"234,567,054","234,570,848",
Zm00001d044153,GRMZM2G370745,cyp10,cytochrome P450 10,Gene model association inferred from similarity with B73 RefGen_v3 gene models,From match to Genbank sequences.,Chr3,"220,577,774","220,580,963",
Zm00001d044159,GRMZM2G129860,cyp11,cytochrome P450 11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,From homology to Genbank sequence.,Chr3,"220,748,190","220,754,600",
Zm00001d005822,GRMZM2G091588,cyp12,cytochrome P450 12,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Match to sequence published in Persans et al.,Chr2,"189,708,364","189,712,407",
Zm00001d018488,GRMZM5G837869,cyp13,cytochrome P450 13,Gene model association inferred from similarity with B73 RefGen_v3 gene models,From homology to Genbank sequence.,Chr5,"221,696,671","221,702,095",
Zm00001d029822,GRMZM2G143202,cyp14,cytochrome P450 14,Gene model association inferred from similarity with B73 RefGen_v3 gene models,From homology to Genbank sequence.,Chr1,"88,696,531","88,703,297",
Zm00001d053782,GRMZM2G010221,cyp15,cytochrome P450 15,,from Farre et al. 2013 and CSH screen of p-G24C-02 probe of npi593a,Chr4,"240,980,104","240,984,661",
Zm00001d002937,,cyp16,cytochrome P450 16,v4,,Chr2,"27,420,578","27,426,388",
Zm00001d022075,GRMZM2G138008,cyp17,cytochrome P-450 17,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Suzuki et al., 2015",Chr7,"169,511,917","169,513,877",
Zm00001d029526,GRMZM2G470442,cyp18,cytochrome P-450 18,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Suzuki et al., 2015",Chr1,"74,783,210","74,785,241",
Zm00001d018839,GRMZM2G102079,cyp19,cytochrome P-450 19,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: ACG28049,Chr7,"6,964,999","6,966,594",
Zm00001d007918,GRMZM2G139467,cyp20,cytochrome P-450 20,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Richter et al., 2016",Chr2,"242,408,695","242,410,359",
Zm00001d047424,GRMZM2G054603,cyp21,cytochrome P-450 21,in v4 assembly,NCBI: not predicted in v4,Chr9,"129,619,898","129,624,238",
Zm00001d014136,GRMZM2G067591,cyp22,cytochrome P-450 22,,,Chr5,"33,745,314","33,746,963",
Zm00001d046207,GRMZM2G018612,cyp23,cytochrome P-450 23,,,Chr9,"71,959,994","71,962,191",
Zm00001d039697,GRMZM2G023952,cyp24,cytochrome P-450 24,,,Chr3,"12,344,885","12,347,351",
Zm00001d053569,GRMZM2G070508,cyp25,cytochrome P-450 25,,,Chr4,"234,845,163","234,847,523",
Zm00001d012322,GRMZM2G087875,cyp26,cytochrome P-450 26,,,Chr8,"172,403,401","172,405,359",
Zm00001d004664,GRMZM2G164074,cyp27,cytochrome P-450 27,,"from Lunde et al., 2019",Chr2,"127,649,757","127,651,304",
Zm00001d038064,GRMZM2G132478,cyp28,cytochrome P-450 28,,,Chr6,"146,725,709","146,727,657",
Zm00001d019415,,cyp6,cytochrome P450,v4,,Chr7,"32,852,022","32,852,396",
Zm00001d011419,GRMZM2G021436,cyp7,cytochrome P450 7,,,Chr8,"149,989,038","149,991,368",
Zm00001d033020,GRMZM2G167986,cyp8,cytochrome P-450 8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr1,"247,311,909","247,314,314",
Zm00001d046334,GRMZM2G138248,cyp9,cytochrome P450 9,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Irmisch et al., 2015",Chr9,"81,310,177","81,311,766",
Zm00001d008379,GRMZM2G082185,cys1,cysteine synthase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: EU969699,Chr8,"6,803,766","6,807,373",
Zm00001d031136,GRMZM2G005887,cys2,cysteine synthase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: Entrez Gene 542438,Chr1,"179,010,347","179,015,072",
Zm00001d045344,,cys3,cysteine synthase3,,,Chr9,"19,252,513","19,254,098",
Zm00001d045350,GRMZM2G003289,cys4,cysteine synthase4,,,Chr9,"19,284,778","19,286,313",
Zm00001d045327,GRMZM2G443985,cys5,cysteine synthase5,,merged gene - split in v4,Chr9,"19,066,419","19,069,385",
Zm00001d045340,GRMZM2G104269,cys6,cysteine synthase6,,,Chr9,"19,216,311","19,218,442",
Zm00001d045341,GRMZM2G104237,cys7,cysteine synthase7,,,Chr9,"19,221,043","19,224,030",
Zm00001d045347,,cys8,cysteine synthase8,,,Chr9,"19,263,486","19,265,122",
Zm00001d000237,GRMZM2G168474,czog1,cis-zeatin O-glucosyltransferase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from sequence AF318075,B73V4_ctg44,"71,975","73,515",
Zm00001d012335,GRMZM2G110511,czog2,cis-zeatin O-glucosyltransferase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr8,"172,652,749","172,654,298",
Zm00001d039634,GRMZM2G036340,d1,dwarf plant1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Teng et al., 2013; from: JX307637 (Chen et al., 2014)",Chr3,"9,745,656","9,748,061",
Zm00001d045563,GRMZM2G093195,d3,dwarf plant3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr9,"26,822,040","26,825,680",
Zm00001d033680,GRMZM2G144744,d8,dwarf plant8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"270,918,085","270,919,977",
Zm00001d013465,GRMZM2G024973,d9,dwarf plant9,,,Chr5,"12,228,329","12,230,206",
Zm00001d038478,GRMZM2G390436,dafl1,defective in anther dehiscence like1,,"Shi et al., 2019",Chr6,"158,330,439","158,331,059",
Zm00001d005347,GRMZM2G084881,dar1,monodehydroascorbate reductase homolog1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"170,386,767","170,391,584",
Zm00001d043991,GRMZM2G070360,dba2,DNA binding activity2,,,Chr3,"215,828,080","215,837,379",
Zm00001d026642,GRMZM2G011513,dba3,DNA binding activity3,,,Chr10,"149,278,822","149,280,179",
Zm00001d003195,GRMZM2G018876,dbb1,double B-box zinc finger protein1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"35,306,395","35,307,301",
Zm00001d021278,GRMZM2G143718,dbb10,double B-box zinc finger protein10,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr7,"147,632,776","147,636,889",
Zm00001d045323,GRMZM2G028594,dbb11,double B-box zinc finger protein11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr9,"18,935,792","18,946,869",
Zm00001d025957,GRMZM2G098442,dbb12,double B-box zinc finger protein12,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr10,"134,741,085","134,742,626",
Zm00001d002806,GRMZM2G131982,dbb2,double B-box zinc finger protein2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr2,"23,197,620","23,201,256",
Zm00001d039437,GRMZM5G834596,dbb3,double B-box zinc finger protein3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr3,"4,316,527","4,318,099",
Zm00001d051018,GRMZM2G019335,dbb4,double B-box zinc finger protein4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr4,"137,141,449","137,142,700",
Zm00001d014765,GRMZM2G118884,dbb5,double B-box zinc finger protein5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr5,"62,282,614","62,284,983",
Zm00001d017147,GRMZM2G095299,dbb6,double B-box zinc finger protein6,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr5,"187,053,602","187,054,914",
Zm00001d017412,GRMZM2G110541,dbb7,double B-box zinc finger protein7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr5,"195,189,894","195,191,367",
Zm00001d036214,GRMZM2G070446,dbb8,double B-box zinc finger protein8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr6,"77,322,780","77,327,461",
Zm00001d036418,GRMZM2G116475,dbb9,double B-box zinc finger protein9,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Li et al., 2017",Chr6,"87,645,024","87,646,346",
Zm00001d032295,GRMZM2G061487,dbf1,DRE-binding protein 1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"from: EU963205; ereb204 assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"220,776,886","220,777,674",
Zm00001d000179,GRMZM5G889719,dbf2,DRE-binding protein 2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"ereb1 assigned by the Grassius project, (Yilmaz et al 2009)",B73V4_ctg181,"214,703","215,548",
Zm00001d006169,GRMZM2G124037,dbf3,DRE-binding protein3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr2,"200,397,718","200,398,512",
Zm00001d036003,GRMZM2G380377,dbp4,DRE-binding protein4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from alignment to FJ805752,Chr6,"65,322,473","65,323,171",
Zm00001d052018,GRMZM2G108147,dbptf1,DBP-transcription factor 1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"176,597,115","176,600,543",
Zm00001d018394,GRMZM2G180430,dbptf2,DBP-transcription factor 2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"219,962,014","219,970,575",
Zm00001d045128,GRMZM2G149132,dbptf3,DBP-transcription factor 3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr9,"13,703,300","13,708,121",
Zm00001d046450,GRMZM2G158734,dbptf4,DBP-transcription factor 4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr9,"90,491,829","90,495,556",
Zm00001d024857,GRMZM2G083459,dcd1,discordia1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr10,"90,991,479","90,996,675",
Zm00001d027412,GRMZM2G040762,dcl101,dicer-like 101,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from alignment to sequence EU951021,Chr1,"4,724,456","4,736,832",
Zm00001d032655,GRMZM2G413853,dcl102,dicer-like 102,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from ChromDB sequence & XM_008666626,Chr1,"233,262,795","233,282,063",
Zm00001d042432,GRMZM5G814985,dcl104,dicer-like 104,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from ChromDB sequence,Chr3,"167,033,044","167,043,664",
Zm00001d013796,GRMZM2G301405,dcl105,dicer-like 105,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from ChromDB sequence,Chr5,"20,375,070","20,392,119",
